case,pwin,ploss
399us66,9.869846950960293e-12,0.9999999999901092
396us87,0.9999999999994316,5.562144811796187e-13
397us301,0.24177579282392214,0.7582242071760898
396us142,1.0,3.0207685518549215e-15
396us77,5.287390497090275e-13,0.9999999999994316
397us286,0.039045391394381825,0.9609546086056457
398us306,0.9999999999980673,1.9777012311940014e-12
399us267,1.0,2.728764243754707e-16
401us216,2.0004715974146757e-15,1.0
396us435,1.0,2.6730692064638283e-16
400us74,9.087367914405366e-14,0.9999999999998863
397us50,1.2029247345218339e-09,0.9999999987970796
399us149,0.002190856819814162,0.9978091431802091
397us358,7.697237015938007e-15,1.0
396us471,0.024994011516580716,0.9750059884833959
396us258,8.282905003979498e-14,0.9999999999998863
399us350,1.0405905335594656e-07,0.999999895940965
398us319,1.0,2.603907847876622e-15
396us168,0.9999999999884039,1.1647045292012848e-11
397us72,0.010277663253596667,0.9897223367464122
399us78,1.0,7.796475326595749e-15
397us112,5.81225007236963e-14,0.9999999999998863
397us586,0.9999999999992042,7.452859272219804e-13
398us74,0.9999999996595079,3.404642164885816e-10
398us262,2.4266250918657693e-12,0.9999999999974989
398us281,1.3617291123244727e-11,0.9999999999863576
397us660,0.010107542943744835,0.9898924570562693
398us268,4.494120855691609e-09,0.9999999955058456
398us275,4.0902470375272083e-13,0.9999999999995453
399us30,3.82668478546203e-15,1.0
